LECROYWaveRunnerkR 21099 Waveform
Segments 1 SegmentSize 100002
Segment TrigTime TimeSinceSegment1
#1 09-May-2022 14:43:36 0                 
Time Ampl
1.4782475e-006 -0.0440661
1.4782975e-006 -0.0454118
1.4783475e-006 -0.0407432
1.4783975e-006 -0.0381068
1.4784475e-006 -0.0385736
1.4784975e-006 -0.0374614
1.4785475e-006 -0.0357038
1.4785975e-006 -0.0376674
1.4786475e-006 -0.0434207
1.4786975e-006 -0.0425831
1.4787475e-006 -0.035951
1.4787975e-006 -0.0341384
1.4788475e-006 -0.0378871
1.4788975e-006 -0.0413336
1.4789475e-006 -0.0392602
1.4789975e-006 -0.0371181
1.4790475e-006 -0.0392739
1.4790975e-006 -0.0400017
1.4791475e-006 -0.0393426
1.4791975e-006 -0.0411002
1.4792475e-006 -0.0428578
1.4792975e-006 -0.0410727
1.4793475e-006 -0.0385874
1.4793975e-006 -0.0405372
1.4794475e-006 -0.0436267
1.4794975e-006 -0.0409079
1.4795475e-006 -0.0372142
1.4795975e-006 -0.0374065
1.4796475e-006 -0.0380381
1.4796975e-006 -0.0388345
1.4797475e-006 -0.0388345
1.4797975e-006 -0.037585
1.4798475e-006 -0.0376262
1.4798975e-006 -0.0380244
1.4799475e-006 -0.0394662
1.4799975e-006 -0.0406882
1.4800475e-006 -0.0389856
1.4800975e-006 -0.0393838
1.4801475e-006 -0.0411826
1.4801975e-006 -0.0403449
1.4802475e-006 -0.0418142
1.4802975e-006 -0.0425557
1.4803475e-006 -0.0379557
1.4803975e-006 -0.0369945
1.4804475e-006 -0.0404823
1.4804975e-006 -0.0405097
1.4805475e-006 -0.0396996
1.4805975e-006 -0.041567
1.4806475e-006 -0.0420202
1.4806975e-006 -0.0402488
1.4807475e-006 -0.0404548
1.4807975e-006 -0.0411002
1.4808475e-006 -0.0398094
1.4808975e-006 -0.0380106
1.4809475e-006 -0.0361432
1.4809975e-006 -0.0367199
1.4810475e-006 -0.0401939
1.4810975e-006 -0.0418279
1.4811475e-006 -0.0406608
1.4811975e-006 -0.0398644
1.4812475e-006 -0.0409354
1.4812975e-006 -0.0410864
1.4813475e-006 -0.0372692
1.4813975e-006 -0.0352095
1.4814475e-006 -0.0387796
1.4814975e-006 -0.0378321
1.4815475e-006 -0.0341659
1.4815975e-006 -0.0382166
1.4816475e-006 -0.043764
1.4816975e-006 -0.0445879
1.4817475e-006 -0.0402214
1.4817975e-006 -0.0356214
1.4818475e-006 -0.0384912
1.4818975e-006 -0.0415533
1.4819475e-006 -0.0399605
1.4819975e-006 -0.0386972
1.4820475e-006 -0.0373653
1.4820975e-006 -0.0363354
1.4821475e-006 -0.0374202
1.4821975e-006 -0.040496
1.4822475e-006 -0.0418828
1.4822975e-006 -0.0397545
1.4823475e-006 -0.0385324
1.4823975e-006 -0.0368572
1.4824475e-006 -0.0360471
1.4824975e-006 -0.0399193
1.4825475e-006 -0.0426381
1.4825975e-006 -0.0424596
1.4826475e-006 -0.0412649
1.4826975e-006 -0.0380656
1.4827475e-006 -0.037173
1.4827975e-006 -0.0392327
1.4828475e-006 -0.0393838
1.4828975e-006 -0.0394936
