LECROY;WAVERUNNER8404M;LCRY4256N21099;8.4.1;TCPIP0::192.168.41.155
TriggerTime,2022-05-11--14-33-39.757
RelativeTime Ch.#1 Ch.#2 Ch.#3 Ch.#4
[s] [V] [V] [V] [V]
-8.662372E-8 -5.770913E-3 3.609541E-4 -3.960365E-2 -2.694201E-1
-8.657372E-8 -6.316042E-3 3.487470E-4 -3.888962E-2 -2.622800E-1
-8.652372E-8 -6.457473E-3 3.666508E-4 -3.790098E-2 -2.249310E-1
-8.647372E-8 -5.931568E-3 3.719404E-4 -3.946632E-2 -2.488234E-1
-8.642372E-8 -6.055149E-3 3.393884E-4 -4.225376E-2 -2.896051E-1
-8.637372E-8 -6.970333E-3 2.779462E-4 -4.180065E-2 -2.795813E-1
-8.632372E-8 -6.988870E-3 2.140629E-4 -4.082572E-2 -2.401726E-1
-8.627372E-8 -6.327027E-3 1.823246E-4 -4.031765E-2 -2.339938E-1
-8.622372E-8 -6.491114E-3 2.148766E-4 -4.195169E-2 -2.574739E-1
-8.617372E-8 -6.687471E-3 3.092776E-4 -4.320121E-2 -2.475874E-1
-8.612372E-8 -6.377832E-3 4.207685E-4 -3.876606E-2 -2.355042E-1
-8.607372E-8 -6.662754E-3 5.058108E-4 -3.744784E-2 -2.578859E-1
-8.602372E-8 -7.320479E-3 5.566734E-4 -4.259706E-2 -2.626920E-1
-8.597372E-8 -7.374717E-3 5.908532E-4 -4.421732E-2 -2.545905E-1
-8.592372E-8 -6.846066E-3 6.266604E-4 -4.026273E-2 -2.676351E-1
-8.587372E-8 -6.395683E-3 6.726403E-4 -3.628069E-2 -2.757366E-1
-8.582372E-8 -6.328399E-3 7.320477E-4 -3.740665E-2 -2.533545E-1
-8.577372E-8 -6.265922E-3 8.004073E-4 -3.912306E-2 -2.157311E-1
-8.572372E-8 -6.268669E-3 8.573732E-4 -3.538817E-2 -1.987045E-1
-8.567372E-8 -6.467772E-3 8.801597E-4 -3.599232E-2 -2.225969E-1
-8.562372E-8 -6.641471E-3 8.720218E-4 -4.281676E-2 -2.651634E-1
-8.557372E-8 -6.769171E-3 8.687666E-4 -4.351702E-2 -2.702441E-1
-8.552372E-8 -6.640098E-3 8.956220E-4 -3.937021E-2 -2.426443E-1
-8.547372E-8 -6.449921E-3 9.363121E-4 -3.764009E-2 -2.459397E-1
-8.542372E-8 -6.677172E-3 9.501467E-4 -3.879350E-2 -2.640650E-1
-8.537372E-8 -6.867349E-3 9.062015E-4 -4.044124E-2 -2.436056E-1
-8.532372E-8 -6.473264E-3 8.052900E-4 -3.781858E-2 -2.278147E-1
-8.527372E-8 -6.025626E-3 6.799644E-4 -3.526458E-2 -2.414086E-1
-8.522372E-8 -6.362041E-3 5.806806E-4 -3.729680E-2 -2.357788E-1
-8.517372E-8 -6.865976E-3 5.436526E-4 -3.757143E-2 -2.393489E-1
-8.512372E-8 -6.498666E-3 5.668460E-4 -3.821680E-2 -2.621427E-1
-8.507372E-8 -5.921956E-3 6.205570E-4 -4.012543E-2 -2.812290E-1
-8.502372E-8 -6.051029E-3 6.685713E-4 -3.796962E-2 -3.000407E-1
-8.497372E-8 -6.739649E-3 6.840334E-4 -3.628069E-2 -2.655754E-1
-8.492372E-8 -6.996422E-3 6.624677E-4 -3.758517E-2 -2.158685E-1
-8.487372E-8 -6.461592E-3 6.315433E-4 -3.876606E-2 -2.355042E-1
-8.482372E-8 -6.622247E-3 6.291019E-4 -4.104543E-2 -2.646143E-1
-8.477372E-8 -7.572446E-3 6.600262E-4 -4.292661E-2 -2.510204E-1
-8.472372E-8 -7.516835E-3 6.962405E-4 -4.137498E-2 -2.309728E-1
-8.467372E-8 -6.453354E-3 7.133305E-4 -3.987828E-2 -2.377012E-1
-8.462372E-8 -5.958344E-3 7.145510E-4 -3.965858E-2 -2.481368E-1
-8.457372E-8 -6.471205E-3 7.137372E-4 -3.780487E-2 -2.316594E-1
-8.452372E-8 -6.883827E-3 6.982749E-4 -3.659651E-2 -2.098267E-1
-8.447372E-8 -6.686784E-3 6.413090E-4 -3.898573E-2 -2.111998E-1
-8.442372E-8 -6.368220E-3 5.550459E-4 -4.055110E-2 -2.271280E-1
-8.437372E-8 -6.205506E-3 4.895348E-4 -3.851888E-2 -2.315221E-1
-8.432372E-8 -6.447175E-3 4.712243E-4 -3.781858E-2 -2.317967E-1
-8.427372E-8 -6.909916E-3 4.757002E-4 -3.866991E-2 -2.479994E-1
-8.422372E-8 -7.028691E-3 4.740725E-4 -3.949380E-2 -2.500591E-1
